alpha_id,asset,passed,fail_reason,is_final_candidate_alpha,rank,score,coverage,train_blocks,train_ic,train_rank_ic,train_icir,train_sharpe,val_ic,val_return,oos_ic,oos_rank_ic,oos_icir,oos_sharpe,oos_return,oos_max_dd,oos_turnover_per_bar,oos_trade_count,oos_blocks,wf_positive,wf_total,wf_frac,stability_frac,one_way_bps,slippage_bps,check_dataset_gate,check_factor_computable,check_train_ic,check_train_rank_ic,check_train_icir,check_train_performance,check_validation_performance,check_oos_performance,check_max_drawdown,check_turnover_cap,check_walk_forward,check_stability,check_no_lookahead,check_oos_isolated,check_transaction_cost,check_slippage
Alpha009,EURUSD,True,,False,107,0.4335,1.0,78.0,-0.0861,-0.09,-0.943,3.34,-0.108,0.2541,-0.0703,-0.0657,-0.6902,2.4252,0.238406,-0.057367,0.347701,1089,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha011,EURUSD,True,,False,29,0.9233,0.99,76.0,-0.2646,-0.2422,-3.183,11.93,-0.2706,0.9229,-0.2633,-0.2412,-2.922,12.5296,2.034548,-0.010209,0.32583,1020,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha017,EURUSD,True,,False,38,0.903,0.99,76.0,-0.2291,-0.2718,-3.416,10.25,-0.1984,0.2336,-0.2258,-0.2678,-2.9544,9.497,0.590627,-0.009555,0.242656,760,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha018,EURUSD,True,,False,67,0.6415,0.99,76.0,-0.0807,-0.082,-0.852,3.74,-0.1006,0.32899999999999996,-0.0828,-0.0842,-0.8288,5.1116,0.656643,-0.040091,0.176086,552,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha019,AU,True,,True,74,0.6044,0.96,39.0,-0.1063,-0.0944,-1.267,0.75,-0.1503,0.1966,-0.1352,-0.1042,-1.8117,1.856,0.25563,-0.041656,0.132626,225,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha019,EURUSD,True,,True,5,0.9767,0.98,75.0,-0.3252,-0.2814,-5.336,12.04,-0.3169,0.7023,-0.322,-0.2629,-5.5727,12.0806,1.948398,-0.009822,0.089719,281,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha019,XAUUSD,True,,True,90,0.5179,0.98,75.0,-0.1185,-0.1085,-1.134,2.35,-0.1476,0.2541,-0.1005,-0.0911,-0.882,2.5154,0.537137,-0.048944,0.125,392,52,5,6,0.83,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha020,AU,True,,True,102,0.4608,0.98,40.0,-0.1269,-0.1572,-1.45,0.96,-0.1254,0.09140000000000001,-0.1376,-0.1685,-1.6712,1.1297,0.141546,-0.054788,0.445623,756,29,4,6,0.67,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha020,EURUSD,True,,True,28,0.9263,0.99,76.0,-0.3453,-0.3684,-4.479,20.31,-0.3444,1.9622,-0.3385,-0.3708,-3.9873,21.9804,7.723928,-0.00677,0.34387,1077,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha020,SPY,True,,True,129,0.3011,0.95,21.0,-0.0617,-0.0815,-0.791,1.6,-0.0503,0.048,-0.0635,-0.0887,-0.6077,2.2472,0.265567,-0.064837,0.420909,384,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha020,XAUUSD,True,,True,105,0.4353,0.99,76.0,-0.1114,-0.1348,-1.04,0.66,-0.1618,0.4471,-0.1131,-0.1338,-1.4443,1.1114,0.18624,-0.065652,0.444444,1392,52,5,6,0.83,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha021,AU,True,,True,81,0.5626,1.0,42.0,-0.1293,-0.1299,-1.21,0.53,-0.1235,0.0406,-0.16,-0.1539,-1.2671,1.9126,0.199807,-0.027247,0.11789,200,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha021,EURUSD,True,,True,3,0.9869,1.0,78.0,-0.363,-0.3648,-5.175,13.27,-0.3726,0.7042,-0.3863,-0.3861,-5.4953,14.9953,2.184836,-0.005599,0.08046,252,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha021,SPY,True,,True,118,0.3515,1.0,23.0,-0.069,-0.0659,-0.535,1.3,-0.0662,0.014199999999999999,-0.0771,-0.0772,-0.6919,0.9478,0.068932,-0.055904,0.129721,118,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha021,XAUUSD,True,,True,104,0.44,1.0,78.0,-0.1245,-0.1255,-1.064,1.7,-0.1552,0.23550000000000001,-0.1101,-0.1049,-1.1227,0.5511,0.062942,-0.048083,0.129151,404,52,5,6,0.83,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha023,EURUSD,True,,False,11,0.9651,1.0,78.0,-0.264,-0.2919,-3.553,11.58,-0.3072,1.1416,-0.2714,-0.2756,-3.0679,11.6022,2.643053,-0.012315,0.176405,552,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha024,EURUSD,True,,False,68,0.6405,0.99,77.0,0.0353,0.0352,1.3,6.53,0.0394,0.4171,0.032,0.0337,1.1433,6.725,1.134566,-0.030423,0.052842,166,52,5,6,0.83,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha025,EURUSD,True,,False,35,0.907,0.99,76.0,-0.3425,-0.3449,-4.173,16.94,-0.3274,1.5734000000000001,-0.3404,-0.3398,-3.6495,17.7012,6.369822,-0.005579,0.371009,1162,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha029,EURUSD,True,,True,20,0.9428,0.95,71.0,-0.3355,-0.3324,-4.814,16.41,-0.3471,1.4024,-0.3162,-0.3073,-4.2889,18.3316,4.266778,-0.006577,0.274745,860,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha029,NVDA,True,,True,138,0.1725,0.84,16.0,-0.0825,-0.0858,-0.753,1.83,-0.0632,0.0754,-0.0314,-0.0317,-0.2208,0.94,0.168982,-0.119449,0.299398,274,15,4,6,0.67,1.0,5.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha029,QQQ,True,,True,116,0.3574,0.84,16.0,-0.0689,-0.0781,-0.612,1.7,-0.1206,0.16699999999999998,-0.0633,-0.0586,-0.6523,1.5656,0.212246,-0.095158,0.281883,258,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha029,XAUUSD,True,,True,99,0.4741,0.95,71.0,-0.1282,-0.1276,-1.15,2.0,-0.1484,0.39759999999999995,-0.1129,-0.1107,-1.239,1.9002,0.403492,-0.092104,0.303959,952,52,4,6,0.67,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha030,AU,True,,True,63,0.6692,0.98,40.0,-0.1491,-0.155,-1.394,3.04,-0.1657,0.3519,-0.1554,-0.1479,-1.6298,3.4024,0.55548,-0.041902,0.223696,380,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha030,EURUSD,True,,True,15,0.9595,0.99,76.0,-0.397,-0.3937,-5.592,19.05,-0.3992,2.3824,-0.3976,-0.3929,-5.4719,22.1801,10.507118,-0.004435,0.201309,630,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha030,XAUUSD,True,,True,89,0.5188,0.99,76.0,-0.1208,-0.1171,-1.038,2.81,-0.1563,0.7095999999999999,-0.111,-0.1051,-1.0324,2.2408,0.530522,-0.073649,0.235951,739,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha031,EURUSD,True,,False,70,0.6181,0.96,72.0,-0.1481,-0.1726,-1.349,3.08,-0.1364,0.22640000000000002,-0.1441,-0.1642,-1.5053,2.9955,0.434602,-0.064424,0.138889,435,52,5,6,0.83,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha032,AU,True,,True,82,0.5539,0.96,40.0,-0.1044,-0.1079,-1.462,1.36,-0.0864,0.14150000000000001,-0.1075,-0.1083,-1.4424,2.8643,0.503531,-0.056644,0.09107,154,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha032,EURUSD,True,,True,1,0.9907,0.98,75.0,-0.3194,-0.3237,-5.535,13.82,-0.3306,1.3987,-0.3112,-0.3082,-5.0472,11.5066,2.884679,-0.03472,0.063857,200,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha032,QQQ,True,,True,122,0.3348,0.93,20.0,-0.0331,-0.0374,-0.516,0.51,-0.0853,0.18489999999999998,-0.0271,-0.0225,-0.4426,0.9377,0.140647,-0.088916,0.064039,58,15,5,6,0.83,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha032,SPY,True,,True,121,0.3392,0.93,20.0,-0.0733,-0.0722,-0.788,1.72,-0.0663,0.102,-0.0578,-0.0486,-0.7859,0.7216,0.079146,-0.107598,0.130268,119,15,5,6,0.83,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha032,XAUUSD,True,,True,79,0.5726,0.98,75.0,-0.1201,-0.1217,-1.338,4.07,-0.1228,0.6364,-0.0867,-0.0779,-1.2639,2.5719,0.643895,-0.064066,0.092114,288,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha033,EURUSD,True,,False,33,0.9172,0.99,76.0,-0.3812,-0.3854,-5.045,18.64,-0.374,1.9682,-0.3786,-0.3791,-4.2594,19.6777,7.803087,-0.007554,0.36143,1132,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha034,EURUSD,True,,False,34,0.9123,0.98,75.0,-0.2739,-0.2759,-3.447,14.48,-0.2737,1.1924,-0.2806,-0.2809,-3.3096,15.1993,3.450036,-0.009378,0.408525,1280,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha035,EURUSD,True,,False,7,0.9718,1.0,78.0,-0.3044,-0.3345,-3.762,9.96,-0.3071,0.33490000000000003,-0.3211,-0.3336,-4.3342,11.6581,1.010486,-0.00514,0.14719,461,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha037,EURUSD,True,,False,36,0.9056,0.98,76.0,-0.2016,-0.1941,-2.127,6.16,-0.2164,0.7012,-0.1953,-0.1872,-2.4557,5.9067,1.047069,-0.02313,0.175287,549,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha038,AU,True,,True,80,0.5711,0.98,40.0,-0.1389,-0.1585,-1.271,1.64,-0.1514,0.1366,-0.153,-0.1624,-1.5982,2.111,0.325657,-0.063372,0.314176,533,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha038,EURUSD,True,,True,19,0.9432,0.99,76.0,-0.387,-0.4262,-5.654,21.56,-0.3828,2.4732,-0.3823,-0.4204,-4.9859,22.3241,10.655294,-0.006465,0.258142,808,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha038,QQQ,True,,True,130,0.3008,0.95,21.0,-0.0574,-0.0618,-0.549,0.53,-0.0492,0.0075,-0.0595,-0.073,-0.5657,1.9302,0.281924,-0.056787,0.328407,300,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha038,XAUUSD,True,,True,103,0.4538,0.99,76.0,-0.1227,-0.1335,-1.185,1.8,-0.146,0.442,-0.1149,-0.1203,-0.9987,1.7431,0.394794,-0.078298,0.324872,1018,52,5,6,0.83,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha039,EURUSD,True,,True,8,0.971,0.98,75.0,-0.2876,-0.3085,-3.931,11.91,-0.2784,0.7587,-0.2707,-0.2862,-3.5296,12.2641,1.965391,-0.011063,0.105683,331,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha039,QQQ,True,,True,136,0.2237,0.93,20.0,-0.0663,-0.0758,-0.695,1.54,-0.0597,0.1115,-0.0375,-0.0398,-0.0668,0.6764,0.086696,-0.094523,0.15052,138,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha039,XAUUSD,True,,True,83,0.5407,0.98,75.0,-0.0988,-0.1079,-0.791,2.36,-0.1298,0.6475,-0.1024,-0.1052,-0.8841,2.6099,0.596174,-0.066285,0.130747,410,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha041,EURUSD,True,,False,27,0.9318,1.0,78.0,-0.3475,-0.3729,-5.328,18.67,-0.3672,1.7616,-0.3611,-0.3698,-4.1021,18.8339,6.204946,-0.005514,0.323436,1013,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha042,EURUSD,True,,False,61,0.6767,0.99,76.0,-0.0215,-0.3374,-2.228,13.03,-0.2451,1.3405,-0.0296,-0.3207,-1.9768,12.1181,2.883083,-0.009415,0.224777,704,52,6,6,1.0,0.75,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha043,EURUSD,True,,False,17,0.9524,1.0,78.0,-0.2579,-0.2555,-2.67,8.27,-0.2699,0.3746,-0.2345,-0.2418,-3.2328,8.3314,1.035161,-0.0116,0.232599,728,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha046,AU,True,,True,62,0.6726,1.0,42.0,-0.168,-0.166,-1.415,4.47,-0.166,0.2858,-0.1638,-0.1674,-1.5034,2.7427,0.320849,-0.035394,0.079576,135,29,6,6,1.0,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha046,EURUSD,True,,True,13,0.9604,1.0,78.0,-0.371,-0.365,-4.914,15.68,-0.3495,1.8355000000000001,-0.3661,-0.3606,-3.9619,17.8042,8.251676,-0.007883,0.116379,364,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha046,QQQ,True,,True,106,0.4342,1.0,23.0,-0.0347,-0.0443,-0.357,1.38,-0.0578,0.09970000000000001,-0.072,-0.0733,-0.713,1.5749,0.196569,-0.073183,0.151615,138,15,6,6,1.0,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha046,SPY,True,,True,95,0.4859,1.0,23.0,-0.0628,-0.0656,-0.565,2.28,-0.0528,0.1418,-0.0978,-0.1025,-0.8797,2.8724,0.303507,-0.034594,0.120416,110,15,5,6,0.83,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,AG,True,,True,133,0.2923,0.98,40.0,-0.0669,-0.0688,-0.579,0.83,-0.0802,0.18230000000000002,-0.0616,-0.0583,-0.2857,0.6431,0.127053,-0.177133,0.169761,288,29,4,6,0.67,1.0,8.0,4.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,AU,True,,True,48,0.8521,0.98,40.0,-0.1627,-0.1636,-1.414,3.6,-0.1816,0.3969,-0.176,-0.1685,-2.2586,4.8593,0.88794,-0.032237,0.13911,236,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,EURUSD,True,,True,4,0.9787,0.99,76.0,-0.3766,-0.3796,-6.072,17.16,-0.3972,1.8709,-0.3926,-0.3909,-5.3713,20.0948,6.746422,-0.004873,0.116699,366,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,QQQ,True,,True,117,0.3574,0.95,21.0,-0.0745,-0.0798,-0.768,2.56,-0.0743,0.17980000000000002,-0.0643,-0.0703,-0.6732,1.2525,0.190791,-0.101635,0.174603,160,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,SPY,True,,True,113,0.4034,0.95,21.0,-0.1124,-0.1099,-0.964,2.66,-0.0818,0.1623,-0.093,-0.0915,-0.7278,2.5888,0.381375,-0.065218,0.169677,155,15,5,6,0.83,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha047,XAUUSD,True,,True,59,0.7142,0.99,76.0,-0.1409,-0.1437,-1.344,4.78,-0.1768,0.9543,-0.1346,-0.1296,-1.2188,4.6909,1.555518,-0.055237,0.153097,480,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha048,EURUSD,True,,False,24,0.9329,0.99,76.0,0.3691,0.3805,4.713,17.76,0.3675,1.7259,0.3676,0.3725,4.0241,18.1733,5.761374,-0.005507,0.31258,979,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha049,EURUSD,True,,False,25,0.9319,1.0,78.0,-0.3479,-0.3729,-4.429,18.5,-0.3672,1.7631999999999999,-0.3612,-0.3697,-4.0997,18.8959,6.255251,-0.005514,0.323116,1012,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha051,EURUSD,True,,False,26,0.9319,1.0,78.0,-0.3479,-0.3729,-4.429,18.5,-0.3672,1.7631999999999999,-0.3612,-0.3697,-4.0997,18.8959,6.255251,-0.005514,0.323116,1012,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha052,EURUSD,True,,False,37,0.904,0.98,75.0,-0.2009,-0.2515,-2.951,9.84,-0.1872,0.3492,-0.1997,-0.2449,-2.4906,9.7806,1.044499,-0.009506,0.120051,376,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha054,AU,True,,True,77,0.5993,1.0,43.0,-0.1533,-0.197,-1.474,2.26,-0.1481,0.2375,-0.1585,-0.2003,-1.5809,3.192,0.549398,-0.049827,0.42234,716,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha054,EURUSD,True,,True,30,0.9233,1.0,78.0,-0.4118,-0.4197,-5.634,23.48,-0.3941,2.4454,-0.4046,-0.4133,-4.9842,24.0857,11.131775,-0.002944,0.300926,942,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha054,QQQ,True,,True,115,0.3722,1.0,23.0,-0.0617,-0.1019,-0.56,2.85,-0.0457,0.2357,-0.0699,-0.1061,-0.6478,3.254,0.537394,-0.050688,0.439518,402,15,6,6,1.0,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha054,SPY,True,,True,109,0.4195,1.0,23.0,-0.057,-0.0937,-0.521,1.41,-0.0751,0.1789,-0.0807,-0.1195,-0.6874,3.0861,0.4224,-0.066236,0.425835,389,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha054,XAUUSD,True,,True,85,0.5373,1.0,78.0,-0.1238,-0.1644,-1.217,2.97,-0.1361,0.4096,-0.1228,-0.1603,-1.1283,2.9925,0.663645,-0.060523,0.428321,1342,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha056,EURUSD,True,,False,32,0.9201,0.99,76.0,-0.2864,-0.3126,-3.666,16.05,-0.2741,1.4074,-0.2706,-0.2916,-2.968,15.0614,4.027956,-0.012896,0.300607,942,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha057,EURUSD,True,,False,9,0.9702,0.99,76.0,-0.2361,-0.3744,-3.406,13.43,-0.2892,1.0201,-0.2589,-0.367,-3.2755,13.3269,2.457519,-0.005749,0.153895,482,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha060,AU,True,,True,65,0.6472,0.96,39.0,-0.1764,-0.1822,-1.967,1.29,-0.1833,0.1709,-0.1886,-0.1822,-2.1055,2.4548,0.379854,-0.059345,0.35809,608,29,4,6,0.67,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha060,EURUSD,True,,True,22,0.9354,0.98,75.0,-0.4194,-0.4235,-5.974,21.18,-0.4067,2.5509,-0.416,-0.4176,-5.9323,24.4953,11.30602,-0.002904,0.265326,831,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
